Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,Add Ons,,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
,,ComplianceOne - Consumer Credit Reports," $45 flat rate for
up to 45
transactions.
$1 per
transaction
afterwards ",0,,1
,,Customer API Integration,"Integration fee for CRA-sponsored API
integrations",1050,,
,,EMS - Consumer Credit Reports - New,"Old interface, do not sign up new
clients on this.",0,,0.44
,,EMS - Consumer Credit Reports - Reissue,"Old interface, do not sign up new
clients on this.",0,,0.44
,,Encompass - 4506-T Gateway,"CRA entry:
Check with
provider

Billing includes new and reissue transactions; only billed if using MeridianLink gateway through TaxReturnVerifications.com",0,,2.32
,,Encompass - Consumer Credit Reports,"CRA entry:
Check with
provider

See billing details in MCL-1036",0,,2.06
,,Encompass Flood Gateway Integration,Only applicable to CRAs using the MeridianLink entry in the provider dropdown of Encompass (i.e. not a direct relationship between CRA and ICE Mortgage Technology),4200,,2.32
,,Encompass Partner API Integration,"Applicable to all CRAs who want to use MCL for Encompass Partner API integrations. One fee covers any/all Encompass integrations used by the CRA (VOE, Flood, etc.). CRAs using MeridianLink entry in provider dropdown also need to pay setup and transaction fee for each product integration with Encompass.",0,1050,0
,,Encompass VOE Gateway Integration,Only applicable to CRAs using the MeridianLink entry in the provider dropdown of Encompass (i.e. not a direct relationship between CRA and ICE Mortgage Technology),4200,,2.32
,,Fannie Mae - Consumer Credit Reports,"Fee becomes $2.78 if invoice is
overdue
Includes: Desktop Underwriter,
Desktop Originator, EarlyCheck?",0,,2.53
,,Fannie Mae - Manual VOE/I,"CRAs must go through their own
vetting process with Fannie Mae",0,,0
,,Fannie Mae - Tax Transcript,"Must use our 4506-T Processing
system or AUS-TRV for eligibility",0,,0
,,Fannie Mae Affiliate Fee,Pass through from Fannie Mae,2075,,
,,Fannie Mae Connect Fee,Annual fee billed in monthly installments,0,4944,
,,FHLMC Direct - Consumer Credit Reports - Direct New,Excludes LQA transactions,0,,2.06
,,FHLMC Direct - Consumer Credit Reports - Direct Reissue,Excludes LQA transactions,0,,2.06
,,focusagent - Consumer Credit Reports,(blank),0,,0
,,Freddie Mac LQA Secondary Use - Individual,"Make sure we get the CRA to sign LQA agreement. Quote Individual and Joint together.

Freddie Mac covers the cost of LQA
reissues. This includes secondary use.
So, if a reissue occurs with secondary
use in a CRA system, we bill Freddie
Mac for it, and then give the CRA credit
for the reissue here.",0,,-1234
,,Freddie Mac LQA Secondary Use - Joint,"Make sure we get the CRA to sign LQA agreement. Quote Individual and Joint together.

Freddie Mac covers the cost of LQA
reissues. This includes secondary use.
So, if a reissue occurs with secondary
use in a CRA system, we bill Freddie
Mac for it, and then give the CRA credit
for the reissue here.",0,,-1234
,,Harland - Consumer Credit Reports,(blank),0,,0.5
,,IntegraDestiny - Consumer Credit Reports - 1B,(MCL-181),0,,0.3
